,accession,date,country,state,county
578,STM-0000053-H10,2021-01-23,USA,Florida,None
579,STM-0000013-C12,2021-01-11,USA,Georgia,None
580,STM-0000082-A10,2021-01-09,USA,Georgia,None
581,STM-0000050-E02,2021-01-22,USA,Pennsylvania,None
582,STM-0000016-F01,2021-01-11,USA,Louisiana,None
583,STM-0000036-F02,2021-01-18,USA,Georgia,None
584,STM-0000043-D06,2021-01-20,USA,Florida,None
585,STM-0000030-H10,2021-01-16,USA,Minnesota,None
586,STM-0000036-H02,2021-01-18,USA,Georgia,None
587,STM-0000059-E12,2021-01-28,USA,Georgia,None
588,STM-0000072-H10,2021-01-29,USA,Florida,None
589,STM-0000058-A04,2021-01-27,USA,Texas,None
590,STM-0000072-B02,2021-01-30,USA,Georgia,None
591,STM-0000058-H02,2021-01-27,USA,North_Carolina,None
592,STM-0000072-H07,2021-01-29,USA,North_Carolina,None
593,STM-0000030-D06,2021-01-16,USA,Florida,None
594,STM-0000013-H09,2021-01-11,USA,Georgia,None
595,STM-0000059-B07,2021-01-28,USA,Florida,None
596,STM-0000014-F10,2021-01-12,USA,Florida,None
597,STM-A100143,2021-01-04,USA,Indiana,None
598,STM-183,2020-12-31,USA,Indiana,None
599,STM-0000035-B10,2021-01-17,USA,Florida,None
600,STM-0000059-A02,2021-01-28,USA,Indiana,None
601,STM-A100201,2021-01-04,USA,Indiana,None
602,STM-A100164,2021-01-04,USA,Georgia,None
603,STM-A100140,2021-01-04,USA,Georgia,None
604,STM-A100137,2021-01-04,USA,Florida,None
605,STM-0000082-A07,2021-01-09,USA,Florida,None
606,STM-187,2020-12-31,USA,Florida,None
607,STM-075,2020-12-28,USA,Florida,None
608,STM-043,2020-12-26,USA,Florida,None
609,STM-133,2020-12-29,USA,Georgia,None
610,STM-0000082-H03,2021-01-09,USA,Pennsylvania,None
611,STM-0000054-E08,2021-01-26,USA,Texas,None
612,STM-0000054-D09,2021-01-26,USA,Texas,None
613,STM-134,2020-12-29,USA,Florida,None
614,STM-0000031-G07,2021-01-16,USA,California,None
615,STM-0000031-F07,2021-01-16,USA,California,None
616,STM-0000035-E09,2021-01-17,USA,New_York,None
617,STM-0000042-A09,2021-01-21,USA,New_York,None
618,STM-0000013-G10,2021-01-11,USA,North_Carolina,None
619,STM-211,2021-01-02,USA,Florida,None
620,STM-0000013-D06,2021-01-14,USA,Florida,None
621,STM-0000053-G11,2021-01-25,USA,Florida,None
622,EPI_ISL_755941,2020-12-20,USA,California,San_Bernardino_County
623,STM-0000031-H07,2021-01-15,USA,California,None
624,STM-0000025-E04,2021-01-11,USA,California,None
625,STM-0000043-B01,2021-01-20,USA,Texas,None
626,STM-0000029-A09,2021-01-18,USA,California,None
627,STM-0000029-D03,2021-01-17,USA,California,None
628,STM-0000024-C08,2021-01-14,USA,California,None
629,STM-0000025-C01,2021-01-11,USA,California,None
630,STM-0000025-H05,2021-01-11,USA,California,None
631,STM-0000036-E02,2021-01-19,USA,California,None
632,STM-0000025-A07,2021-01-12,USA,California,None
633,EPI_ISL_755940,2020-12-20,USA,California,San_Bernardino_County
634,STM-A100226,2021-01-05,USA,Pennsylvania,None
635,STM-0000059-H06,2021-01-28,USA,North_Carolina,None
636,STM-0000080-G04,2021-01-08,USA,Texas,None
637,STM-0000058-F03,2021-01-27,USA,Pennsylvania,None
638,STM-0000041-B09,2021-01-20,USA,California,None
639,STM-136,2020-12-29,USA,Florida,None
640,STM-0000050-F06,2021-01-22,USA,Florida,None
641,STM-289,2021-01-03,USA,California,None
642,STM-0000081-F06,2021-01-08,USA,California,None
643,STM-0000031-B10,2021-01-16,USA,California,None
644,STM-0000036-A05,2021-01-19,USA,California,None
645,STM-0000031-C10,2021-01-16,USA,California,None
646,STM-0000036-H03,2021-01-19,USA,California,None
647,STM-0000058-A06,2021-01-28,USA,California,None
648,STM-0000029-H02,2021-01-16,USA,Florida,None
649,STM-0000056-E03,2021-01-26,USA,Florida,None
650,STM-0000041-E04,2021-01-19,USA,Florida,None
651,STM-0000030-D08,2021-01-16,USA,Florida,None
652,STM-0000030-G07,2021-01-16,USA,Virginia,None
653,STM-0000030-F07,2021-01-16,USA,Florida,None
654,STM-0000014-G02,2021-01-11,USA,Florida,None
655,STM-0000024-D06,2021-01-13,USA,Florida,None
656,STM-0000059-C12,2021-01-28,USA,Florida,None
657,STM-0000031-A08,2021-01-15,USA,Florida,None
658,STM-0000053-C11,2021-01-23,USA,Florida,None
659,SEARCH-5902,2020-12-17,USA,California,San_Diego
660,STM-0000036-D06,2021-01-18,USA,Florida,None
661,STM-0000036-G07,2021-01-18,USA,Florida,None
